Date,Country,SKU,Category,Retailer,Channel,Units_Sold,Net_Sales,Price_per_Unit,Promo_Flag,Stockout_Flag,Weather_Index,Holiday_Flag,Currency
2024-01-04,France,FR-BAB-04,Baby Food,Auchan,E-Commerce,1,4.1,4.1,0,0,0.17,0,EUR
2024-01-05,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,3,8.84,2.95,0,0,0.262,0,EUR
2024-01-05,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,5,5.49,1.1,0,0,0.262,0,EUR
2024-01-05,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,3,4.23,1.41,0,0,0.262,0,EUR
2024-01-05,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,4,9.12,2.28,0,0,0.262,0,EUR
2024-01-05,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,3,5.45,1.82,0,0,0.262,0,EUR
2024-01-05,France,FR-BEV-04,Beverages,Leclerc,Modern Trade,3,3.81,1.27,0,0,0.262,0,EUR
2024-01-05,France,FR-BEV-03,Beverages,Carrefour,Modern Trade,3,3.52,1.17,0,0,0.262,0,EUR
2024-01-05,France,FR-DAI-05,Dairy,Auchan,E-Commerce,5,8.15,1.63,0,0,0.262,0,EUR
2024-01-05,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,2,7.29,3.64,0,0,0.262,0,EUR
2024-01-05,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,2,7.81,3.9,0,0,0.262,0,EUR
2024-01-06,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,2,5.25,2.62,0,0,0.26,0,EUR
2024-01-06,France,FR-BEV-05,Beverages,Leclerc,Modern Trade,5,6.05,1.21,0,0,0.26,0,EUR
2024-01-06,France,FR-BEV-02,Beverages,Intermarché,Modern Trade,8,9.03,1.13,0,0,0.26,0,EUR
2024-01-06,France,FR-BIS-02,Biscuits & Snacks,Intermarché,Modern Trade,1,2.4,2.4,0,0,0.26,0,EUR
2024-01-06,France,FR-DAI-03,Dairy,Carrefour,Modern Trade,3,4.51,1.5,0,0,0.26,0,EUR
2024-01-06,France,FR-BEV-04,Beverages,Leclerc,Modern Trade,5,5.74,1.15,0,0,0.26,0,EUR
2024-01-06,France,FR-BEV-03,Beverages,Leclerc,Modern Trade,11,12.3,1.12,0,0,0.26,0,EUR
2024-01-06,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,3,5.61,1.87,0,0,0.26,0,EUR
2024-01-06,France,FR-BAB-01,Baby Food,Intermarché,Modern Trade,3,11.93,3.98,0,0,0.26,0,EUR
2024-01-06,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,0,0.0,4.26,0,0,0.26,0,EUR
2024-01-07,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,0,0.0,2.25,0,0,0.193,0,EUR
2024-01-07,France,FR-BEV-05,Beverages,Auchan,E-Commerce,6,8.47,1.41,0,1,0.193,0,EUR
2024-01-07,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,3,3.38,1.13,0,0,0.193,0,EUR
2024-01-07,France,FR-BIS-02,Biscuits & Snacks,Carrefour,Modern Trade,2,4.58,2.29,0,0,0.193,0,EUR
2024-01-07,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,4,6.02,1.5,0,0,0.193,0,EUR
2024-01-07,France,FR-BEV-04,Beverages,Auchan,E-Commerce,3,3.6,1.2,0,1,0.193,0,EUR
2024-01-07,France,FR-BEV-03,Beverages,Auchan,E-Commerce,7,9.54,1.36,0,0,0.193,0,EUR
2024-01-07,France,FR-DAI-05,Dairy,Carrefour,Modern Trade,3,5.51,1.84,0,0,0.193,0,EUR
2024-01-07,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,0,0.0,3.75,0,0,0.193,0,EUR
2024-01-07,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,1,4.21,4.21,0,0,0.193,0,EUR
2024-01-08,France,FR-DRY-05,Dry Grocery,Leclerc,Modern Trade,4,9.52,2.38,0,0,0.13,0,EUR
2024-01-08,France,FR-BEV-05,Beverages,Auchan,E-Commerce,3,4.13,1.38,0,0,0.13,0,EUR
2024-01-08,France,FR-BEV-02,Beverages,Auchan,E-Commerce,3,3.38,1.13,0,0,0.13,0,EUR
2024-01-08,France,FR-BIS-02,Biscuits & Snacks,Carrefour,Modern Trade,6,12.48,2.08,0,0,0.13,0,EUR
2024-01-08,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,6,10.84,1.81,0,0,0.13,0,EUR
2024-01-08,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,2,2.75,1.37,0,0,0.13,0,EUR
2024-01-08,France,FR-BEV-03,Beverages,Auchan,E-Commerce,6,7.51,1.25,0,0,0.13,0,EUR
2024-01-08,France,FR-DAI-05,Dairy,Carrefour,Modern Trade,3,5.15,1.72,0,0,0.13,0,EUR
2024-01-08,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,1,4.6,4.6,0,0,0.13,0,EUR
2024-01-08,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,2,8.65,4.33,1,0,0.13,0,EUR
2024-01-09,France,FR-DRY-05,Dry Grocery,Intermarché,Modern Trade,1,2.68,2.68,0,0,0.079,0,EUR
2024-01-09,France,FR-BEV-05,Beverages,Carrefour,Modern Trade,7,8.17,1.17,0,0,0.079,0,EUR
2024-01-09,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,7,9.44,1.35,0,0,0.079,0,EUR
2024-01-09,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,1,1.88,1.88,0,0,0.079,0,EUR
2024-01-09,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,0,0.0,1.86,0,0,0.079,0,EUR
2024-01-09,France,FR-BEV-04,Beverages,Leclerc,Modern Trade,4,4.35,1.09,0,0,0.079,0,EUR
2024-01-09,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,3,3.87,1.29,0,0,0.079,0,EUR
2024-01-09,France,FR-DAI-05,Dairy,Leclerc,Modern Trade,3,5.32,1.77,0,0,0.079,0,EUR
2024-01-09,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,1,4.61,4.61,1,0,0.079,0,EUR
2024-01-09,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,4,16.5,4.12,1,0,0.079,0,EUR
2024-01-10,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,1,2.29,2.29,1,0,0.195,0,EUR
2024-01-10,France,FR-BEV-05,Beverages,Auchan,E-Commerce,5,5.85,1.17,0,0,0.195,0,EUR
2024-01-10,France,FR-BEV-02,Beverages,Intermarché,Modern Trade,1,1.36,1.36,0,0,0.195,0,EUR
2024-01-10,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,3,5.73,1.91,0,1,0.195,0,EUR
2024-01-10,France,FR-DAI-03,Dairy,Auchan,E-Commerce,1,1.86,1.86,0,0,0.195,0,EUR
2024-01-10,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,3,3.88,1.29,0,0,0.195,0,EUR
2024-01-10,France,FR-BEV-03,Beverages,Carrefour,Modern Trade,5,6.27,1.25,1,0,0.195,0,EUR
2024-01-10,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,3,5.09,1.7,0,0,0.195,0,EUR
2024-01-10,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,1,4.76,4.76,0,0,0.195,0,EUR
2024-01-10,France,FR-BAB-04,Baby Food,Intermarché,Modern Trade,2,7.53,3.76,0,0,0.195,0,EUR
2024-01-11,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,2,5.79,2.89,0,0,0.208,0,EUR
2024-01-11,France,FR-BEV-05,Beverages,Auchan,E-Commerce,5,6.57,1.31,0,0,0.208,0,EUR
2024-01-11,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,8,9.48,1.19,1,0,0.208,0,EUR
2024-01-11,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,2,4.07,2.03,0,0,0.208,0,EUR
2024-01-11,France,FR-DAI-03,Dairy,Leclerc,Modern Trade,4,6.17,1.54,0,0,0.208,0,EUR
2024-01-11,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,7,7.58,1.08,0,0,0.208,0,EUR
2024-01-11,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,0,0.0,1.41,0,0,0.208,0,EUR
2024-01-11,France,FR-DAI-05,Dairy,Carrefour,Modern Trade,5,8.18,1.64,0,0,0.208,0,EUR
2024-01-11,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,0,0.0,4.04,0,0,0.208,0,EUR
2024-01-11,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,0,0.0,3.88,1,0,0.208,0,EUR
2024-01-12,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,2,5.77,2.88,0,0,0.254,0,EUR
2024-01-12,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,2,2.78,1.39,0,0,0.254,0,EUR
2024-01-12,France,FR-BEV-02,Beverages,Intermarché,Modern Trade,9,10.95,1.22,0,0,0.254,0,EUR
2024-01-12,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,3,6.69,2.23,0,0,0.254,0,EUR
2024-01-12,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,4,7.48,1.87,0,0,0.254,0,EUR
2024-01-12,France,FR-BEV-04,Beverages,Leclerc,Modern Trade,2,2.52,1.26,0,0,0.254,0,EUR
2024-01-12,France,FR-BEV-03,Beverages,Leclerc,Modern Trade,2,2.21,1.1,0,0,0.254,0,EUR
2024-01-12,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,1,1.6,1.6,0,0,0.254,0,EUR
2024-01-12,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,5,22.12,4.42,0,0,0.254,0,EUR
2024-01-12,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,0,0.0,3.83,0,0,0.254,0,EUR
2024-01-13,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,0,0.0,2.47,0,0,0.15,0,EUR
2024-01-13,France,FR-BEV-05,Beverages,Leclerc,Modern Trade,8,10.78,1.35,1,0,0.15,0,EUR
2024-01-13,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,6,6.55,1.09,0,0,0.15,0,EUR
2024-01-13,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,3,6.96,2.32,0,0,0.15,0,EUR
2024-01-13,France,FR-DAI-03,Dairy,Carrefour,Modern Trade,3,5.48,1.83,0,0,0.15,0,EUR
2024-01-13,France,FR-BEV-04,Beverages,Auchan,E-Commerce,3,3.88,1.29,0,0,0.15,0,EUR
2024-01-13,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,2,2.6,1.3,0,0,0.15,0,EUR
2024-01-13,France,FR-DAI-05,Dairy,Carrefour,Modern Trade,2,3.12,1.56,0,0,0.15,0,EUR
2024-01-13,France,FR-BAB-01,Baby Food,Intermarché,Modern Trade,0,0.0,4.06,0,0,0.15,0,EUR
2024-01-13,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,0,0.0,4.41,0,0,0.15,0,EUR
2024-01-14,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,1,2.27,2.27,0,0,0.11,0,EUR
2024-01-14,France,FR-BEV-05,Beverages,Carrefour,Modern Trade,5,7.15,1.43,0,0,0.11,0,EUR
2024-01-14,France,FR-BEV-02,Beverages,Auchan,E-Commerce,4,4.97,1.24,0,0,0.11,0,EUR
2024-01-14,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,3,5.65,1.88,0,0,0.11,0,EUR
2024-01-14,France,FR-DAI-03,Dairy,Auchan,E-Commerce,1,1.67,1.67,0,0,0.11,0,EUR
2024-01-14,France,FR-BEV-04,Beverages,Carrefour,Modern Trade,7,7.87,1.12,0,0,0.11,0,EUR
2024-01-14,France,FR-BEV-03,Beverages,Auchan,E-Commerce,2,2.22,1.11,0,0,0.11,0,EUR
2024-01-14,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,3,4.42,1.47,0,0,0.11,0,EUR
2024-01-14,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,1,4.61,4.61,0,0,0.11,0,EUR
2024-01-14,France,FR-BAB-04,Baby Food,Intermarché,Modern Trade,3,12.61,4.2,0,0,0.11,0,EUR
2024-01-15,France,FR-DRY-05,Dry Grocery,Leclerc,Modern Trade,2,4.51,2.26,0,0,0.256,0,EUR
2024-01-15,France,FR-BEV-05,Beverages,Auchan,E-Commerce,5,5.45,1.09,0,0,0.256,0,EUR
2024-01-15,France,FR-BEV-02,Beverages,Auchan,E-Commerce,5,6.9,1.38,0,0,0.256,0,EUR
2024-01-15,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,4,9.4,2.35,0,0,0.256,0,EUR
2024-01-15,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,5,9.16,1.83,0,0,0.256,0,EUR
2024-01-15,France,FR-BEV-04,Beverages,Carrefour,Modern Trade,6,7.07,1.18,0,0,0.256,0,EUR
2024-01-15,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,3,4.26,1.42,0,0,0.256,0,EUR
2024-01-15,France,FR-DAI-05,Dairy,Auchan,E-Commerce,12,17.76,1.48,0,0,0.256,0,EUR
2024-01-15,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,2,9.27,4.63,1,0,0.256,0,EUR
2024-01-15,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,0,0.0,4.31,0,0,0.256,0,EUR
2024-01-16,France,FR-DRY-05,Dry Grocery,Leclerc,Modern Trade,1,2.57,2.57,0,0,0.216,0,EUR
2024-01-16,France,FR-BEV-05,Beverages,Leclerc,Modern Trade,5,6.23,1.25,0,0,0.216,0,EUR
2024-01-16,France,FR-BEV-02,Beverages,Intermarché,Modern Trade,6,7.34,1.22,0,0,0.216,0,EUR
2024-01-16,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,4,9.25,2.31,0,0,0.216,0,EUR
2024-01-16,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,6,10.22,1.7,0,0,0.216,0,EUR
2024-01-16,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,3,4.02,1.34,0,0,0.216,0,EUR
2024-01-16,France,FR-BEV-03,Beverages,Auchan,E-Commerce,9,11.8,1.31,0,0,0.216,0,EUR
2024-01-16,France,FR-DAI-05,Dairy,Auchan,E-Commerce,4,7.55,1.89,0,0,0.216,0,EUR
2024-01-16,France,FR-BAB-01,Baby Food,Intermarché,Modern Trade,3,12.25,4.08,0,0,0.216,0,EUR
2024-01-16,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,1,3.7,3.7,0,0,0.216,0,EUR
2024-01-17,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,4,11.38,2.85,0,0,0.286,0,EUR
2024-01-17,France,FR-BEV-05,Beverages,Auchan,E-Commerce,5,6.03,1.21,0,0,0.286,0,EUR
2024-01-17,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,2,2.58,1.29,0,0,0.286,0,EUR
2024-01-17,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,1,2.39,2.39,0,0,0.286,0,EUR
2024-01-17,France,FR-DAI-03,Dairy,Auchan,E-Commerce,6,11.06,1.84,0,1,0.286,0,EUR
2024-01-17,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,7,8.83,1.26,1,0,0.286,0,EUR
2024-01-17,France,FR-BEV-03,Beverages,Leclerc,Modern Trade,5,6.59,1.32,0,0,0.286,0,EUR
2024-01-17,France,FR-DAI-05,Dairy,Leclerc,Modern Trade,4,6.4,1.6,0,0,0.286,0,EUR
2024-01-17,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,3,12.16,4.05,0,0,0.286,0,EUR
2024-01-17,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,3,11.11,3.7,0,0,0.286,0,EUR
2024-01-18,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,2,4.78,2.39,0,0,0.094,0,EUR
2024-01-18,France,FR-BEV-05,Beverages,Auchan,E-Commerce,7,8.76,1.25,0,0,0.094,0,EUR
2024-01-18,France,FR-BEV-02,Beverages,Intermarché,Modern Trade,8,10.63,1.33,0,0,0.094,0,EUR
2024-01-18,France,FR-BIS-02,Biscuits & Snacks,Carrefour,Modern Trade,4,8.79,2.2,0,0,0.094,0,EUR
2024-01-18,France,FR-DAI-03,Dairy,Carrefour,Modern Trade,3,4.57,1.52,0,0,0.094,0,EUR
2024-01-18,France,FR-BEV-04,Beverages,Auchan,E-Commerce,5,6.29,1.26,0,0,0.094,0,EUR
2024-01-18,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,3,3.36,1.12,0,0,0.094,0,EUR
2024-01-18,France,FR-DAI-05,Dairy,Leclerc,Modern Trade,5,7.85,1.57,0,0,0.094,0,EUR
2024-01-18,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,2,8.62,4.31,0,0,0.094,0,EUR
2024-01-18,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,1,3.74,3.74,0,0,0.094,0,EUR
2024-01-19,France,FR-DRY-05,Dry Grocery,Leclerc,Modern Trade,3,8.62,2.87,0,0,0.196,0,EUR
2024-01-19,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,10,14.16,1.42,1,0,0.196,0,EUR
2024-01-19,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,5,6.54,1.31,0,0,0.196,0,EUR
2024-01-19,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,3,6.46,2.15,0,0,0.196,0,EUR
2024-01-19,France,FR-DAI-03,Dairy,Auchan,E-Commerce,4,5.99,1.5,0,0,0.196,0,EUR
2024-01-19,France,FR-BEV-04,Beverages,Auchan,E-Commerce,3,3.35,1.12,1,0,0.196,0,EUR
2024-01-19,France,FR-BEV-03,Beverages,Carrefour,Modern Trade,2,2.26,1.13,0,0,0.196,0,EUR
2024-01-19,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,3,5.23,1.74,0,0,0.196,0,EUR
2024-01-19,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,2,9.57,4.79,0,0,0.196,0,EUR
2024-01-19,France,FR-BAB-04,Baby Food,Auchan,E-Commerce,2,9.15,4.57,0,0,0.196,0,EUR
2024-01-20,France,FR-DRY-05,Dry Grocery,Intermarché,Modern Trade,2,5.52,2.76,0,0,0.307,0,EUR
2024-01-20,France,FR-BEV-05,Beverages,Auchan,E-Commerce,4,4.43,1.11,0,0,0.307,0,EUR
2024-01-20,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,11,14.53,1.32,0,0,0.307,0,EUR
2024-01-20,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,2,4.19,2.1,0,0,0.307,0,EUR
2024-01-20,France,FR-DAI-03,Dairy,Auchan,E-Commerce,5,8.03,1.61,0,0,0.307,0,EUR
2024-01-20,France,FR-BEV-04,Beverages,Carrefour,Modern Trade,5,5.78,1.16,0,0,0.307,0,EUR
2024-01-20,France,FR-BEV-03,Beverages,Leclerc,Modern Trade,6,7.29,1.22,1,0,0.307,0,EUR
2024-01-20,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,4,6.65,1.66,0,0,0.307,0,EUR
2024-01-20,France,FR-BAB-01,Baby Food,Carrefour,Modern Trade,1,3.9,3.9,0,0,0.307,0,EUR
2024-01-20,France,FR-BAB-04,Baby Food,Auchan,E-Commerce,2,8.03,4.02,0,0,0.307,0,EUR
2024-01-21,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,3,8.4,2.8,0,0,0.301,0,EUR
2024-01-21,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,4,5.48,1.37,0,0,0.301,0,EUR
2024-01-21,France,FR-BEV-02,Beverages,Auchan,E-Commerce,6,8.47,1.41,0,0,0.301,0,EUR
2024-01-21,France,FR-BIS-02,Biscuits & Snacks,Intermarché,Modern Trade,3,6.98,2.33,0,0,0.301,0,EUR
2024-01-21,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,2,3.57,1.79,0,0,0.301,0,EUR
2024-01-21,France,FR-BEV-04,Beverages,Auchan,E-Commerce,0,0.0,1.08,0,0,0.301,0,EUR
2024-01-21,France,FR-BEV-03,Beverages,Auchan,E-Commerce,3,3.58,1.19,0,0,0.301,0,EUR
2024-01-21,France,FR-DAI-05,Dairy,Leclerc,Modern Trade,3,5.29,1.76,0,0,0.301,0,EUR
2024-01-21,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,3,13.8,4.6,0,0,0.301,0,EUR
2024-01-21,France,FR-BAB-04,Baby Food,Auchan,E-Commerce,1,4.74,4.74,0,0,0.301,0,EUR
2024-01-22,France,FR-DRY-05,Dry Grocery,Intermarché,Modern Trade,1,2.45,2.45,0,0,0.262,0,EUR
2024-01-22,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,4,4.32,1.08,0,0,0.262,0,EUR
2024-01-22,France,FR-BEV-02,Beverages,Leclerc,Modern Trade,3,3.89,1.3,0,0,0.262,0,EUR
2024-01-22,France,FR-BIS-02,Biscuits & Snacks,Leclerc,Modern Trade,3,5.74,1.91,0,0,0.262,0,EUR
2024-01-22,France,FR-DAI-03,Dairy,Auchan,E-Commerce,4,6.62,1.66,0,0,0.262,0,EUR
2024-01-22,France,FR-BEV-04,Beverages,Leclerc,Modern Trade,8,11.28,1.41,0,0,0.262,0,EUR
2024-01-22,France,FR-BEV-03,Beverages,Auchan,E-Commerce,4,4.33,1.08,0,0,0.262,0,EUR
2024-01-22,France,FR-DAI-05,Dairy,Leclerc,Modern Trade,0,0.0,1.53,0,0,0.262,0,EUR
2024-01-22,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,1,3.8,3.8,0,0,0.262,0,EUR
2024-01-22,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,1,4.75,4.75,0,0,0.262,0,EUR
2024-01-23,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,5,11.4,2.28,0,0,0.26,0,EUR
2024-01-23,France,FR-BEV-05,Beverages,Auchan,E-Commerce,4,5.0,1.25,0,0,0.26,0,EUR
2024-01-23,France,FR-BEV-02,Beverages,Carrefour,Modern Trade,6,8.59,1.43,0,0,0.26,0,EUR
2024-01-23,France,FR-BIS-02,Biscuits & Snacks,Carrefour,Modern Trade,4,8.26,2.06,1,0,0.26,0,EUR
2024-01-23,France,FR-DAI-03,Dairy,Intermarché,Modern Trade,1,1.54,1.54,0,0,0.26,0,EUR
2024-01-23,France,FR-BEV-04,Beverages,Auchan,E-Commerce,2,2.18,1.09,0,0,0.26,0,EUR
2024-01-23,France,FR-BEV-03,Beverages,Auchan,E-Commerce,6,7.58,1.26,0,0,0.26,0,EUR
